die_id,source,row,col,x_um,y_um,cell_name,site,test_enabled,bin,notes
D00208,gds_references,,,-8810.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00209,gds_references,,,-5286.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00210,gds_references,,,-1762.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00211,gds_references,,,1762.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00212,gds_references,,,5286.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00213,gds_references,,,8810.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00214,gds_references,,,12334.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00215,gds_references,,,15858.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00216,gds_references,,,19382.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00217,gds_references,,,22906.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00218,gds_references,,,26430.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00219,gds_references,,,29954.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00220,gds_references,,,33478.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00221,gds_references,,,37002.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00222,gds_references,,,40526.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00223,gds_references,,,-44050.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00224,gds_references,,,-40526.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00225,gds_references,,,-37002.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00226,gds_references,,,-33478.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00227,gds_references,,,-29954.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00228,gds_references,,,-26430.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00229,gds_references,,,-22906.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00230,gds_references,,,-19382.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00231,gds_references,,,-15858.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00232,gds_references,,,-12334.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00233,gds_references,,,-8810.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00234,gds_references,,,-5286.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00235,gds_references,,,-1762.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00236,gds_references,,,1762.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00237,gds_references,,,5286.0,-49350.0,single_die,,1,UNTESTED,Generated from selected top-cell references
