row,col,label
-21,6,75-51
-21,7,75-52
-21,8,75-53
-21,9,75-54
-21,10,76-50
-21,11,76-51
-21,12,76-52
-21,13,76-53
-21,14,76-54
-21,15,77-50
-20,-18,NA
-20,-17,NA
-20,-16,70-44
-20,-15,71-40
-20,-14,71-41
-20,-13,71-42
-20,-12,71-43
-20,-11,71-44
-20,-10,72-40
-20,-9,72-41
-20,-8,72-42
-20,-7,72-43
-20,-6,72-44
-20,-5,73-40
-20,-4,73-41
-20,-3,73-42
-20,-2,73-43
-20,-1,73-44
-20,0,74-40
-20,1,74-41
-20,2,74-42
-20,3,74-43
-20,4,74-44
-20,5,75-40
-20,6,75-41
-20,7,75-42
-20,8,75-43
-20,9,75-44
-20,10,76-40
-20,11,76-41
-20,12,76-42
-20,13,76-43
-20,14,76-44
-20,15,77-40
-20,16,NA
-20,17,NA
-19,-18,NA
-19,-17,70-33
-19,-16,70-34
-19,-15,71-30
-19,-14,71-31
-19,-13,71-32
-19,-12,71-33
-19,-11,71-34
-19,-10,72-30
-19,-9,72-31
-19,-8,72-32
-19,-7,72-33
-19,-6,72-34
-19,-5,73-30
-19,-4,73-31
-19,-3,73-32
-19,-2,73-33
-19,-1,73-34
-19,0,74-30
-19,1,74-31
-19,2,74-32
-19,3,74-33
-19,4,74-34
-19,5,75-30
-19,6,75-31
-19,7,75-32
-19,8,75-33
-19,9,75-34
-19,10,76-30
-19,11,76-31
-19,12,76-32
-19,13,76-33
-19,14,76-34
-19,15,77-30
-19,16,77-31
-19,17,NA
-18,-18,NA
-18,-17,70-23
-18,-16,70-24
-18,-15,71-20
-18,-14,71-21
-18,-13,71-22
-18,-12,71-23
-18,-11,71-24
-18,-10,72-20
-18,-9,72-21
-18,-8,72-22
-18,-7,72-23
-18,-6,72-24
-18,-5,73-20
-18,-4,73-21
-18,-3,73-22
-18,-2,73-23
-18,-1,73-24
-18,0,74-20
-18,1,74-21
-18,2,74-22
-18,3,74-23
-18,4,74-24
-18,5,75-20
-18,6,75-21
-18,7,75-22
-18,8,75-23
-18,9,75-24
-18,10,76-20
-18,11,76-21
-18,12,76-22
-18,13,76-23
-18,14,76-24
-18,15,77-20
-18,16,77-21
-18,17,NA
-17,-18,NA
-17,-17,70-13
-17,-16,70-14
-17,-15,71-10
-17,-14,71-11
-17,-13,71-12
-17,-12,71-13
-17,-11,71-14
-17,-10,72-10
-17,-9,72-11
-17,-8,72-12
-17,-7,72-13
-17,-6,72-14
-17,-5,73-10
-17,-4,73-11
-17,-3,73-12
-17,-2,73-13
-17,-1,73-14
-17,0,74-10
-17,1,74-11
-17,2,74-12
-17,3,74-13
-17,4,74-14
-17,5,75-10
-17,6,75-11
-17,7,75-12
-17,8,75-13
-17,9,75-14
-17,10,76-10
-17,11,76-11
-17,12,76-12
-17,13,76-13
-17,14,76-14
-17,15,77-10
-17,16,77-11
-17,17,NA
-16,-18,NA
-16,-17,70-03
-16,-16,70-04
-16,-15,71-00
-16,-14,71-01
-16,-13,71-02
-16,-12,71-03
-16,-11,71-04
-16,-10,72-00
-16,-9,72-01
-16,-8,72-02
-16,-7,72-03
-16,-6,72-04
-16,-5,73-00
-16,-4,73-01
-16,-3,73-02
-16,-2,73-03
-16,-1,73-04
-16,0,74-00
-16,1,74-01
-16,2,74-02
-16,3,74-03
-16,4,74-04
-16,5,75-00
-16,6,75-01
-16,7,75-02
-16,8,75-03
-16,9,75-04
-16,10,76-00
-16,11,76-01
-16,12,76-02
-16,13,76-03
-16,14,76-04
-16,15,77-00
-16,16,77-01
-16,17,NA
-15,-18,60-72
-15,-17,60-73
-15,-16,60-74
-15,-15,61-70
-15,-14,61-71
-15,-13,61-72
-15,-12,61-73
-15,-11,61-74
-15,-10,62-70
-15,-9,62-71
-15,-8,62-72
-15,-7,62-73
-15,-6,62-74
-15,-5,63-70
-15,-4,63-71
-15,-3,63-72
-15,-2,63-73
-15,-1,63-74
-15,0,64-70
-15,1,64-71
-15,2,64-72
-15,3,64-73
-15,4,64-74
-15,5,65-70
-15,6,65-71
-15,7,65-72
-15,8,65-73
-15,9,65-74
-15,10,66-70
-15,11,66-71
-15,12,66-72
-15,13,66-73
-15,14,66-74
-15,15,67-70
-15,16,67-71
-15,17,67-72
-14,-18,60-62
-14,-17,60-63
-14,-16,60-64
-14,-15,61-60
-14,-14,61-61
-14,-13,PCM
-14,-12,61-63
-14,-11,61-64
-14,-10,62-60
-14,-9,62-61
-14,-8,62-62
-14,-7,62-63
-14,-6,62-64
-14,-5,63-60
-14,-4,63-61
-14,-3,PCM
-14,-2,63-63
-14,-1,63-64
-14,0,64-60
-14,1,64-61
-14,2,64-62
-14,3,64-63
-14,4,64-64
-14,5,65-60
-14,6,65-61
-14,7,PCM
-14,8,65-63
-14,9,65-64
-14,10,66-60
-14,11,66-61
-14,12,66-62
-14,13,66-63
-14,14,66-64
-14,15,67-60
-14,16,67-61
-14,17,PCM
-13,-18,60-52
-13,-17,60-53
-13,-16,60-54
-13,-15,61-50
-13,-14,61-51
-13,-13,61-52
-13,-12,61-53
