row,col,x_die,y_die,raw_q
-35,0,0,-35,QY-035X0000
-35,-1,-1,-35,QY-035X-001
-35,-2,-2,-35,QY-035X-002
-35,-3,-3,-35,QY-035X-003
-35,-4,-4,-35,QY-035X-004
-35,-5,-5,-35,QY-035X-005
-35,-6,-6,-35,QY-035X-006
-35,-7,-7,-35,QY-035X-007
-35,-8,-8,-35,QY-035X-008
-35,-9,-9,-35,QY-035X-009
-35,-10,-10,-35,QY-035X-010
-35,-11,-11,-35,QY-035X-011
-35,-12,-12,-35,QY-035X-012
-35,-13,-13,-35,QY-035X-013
-35,-14,-14,-35,QY-035X-014
-35,-15,-15,-35,QY-035X-015
-35,-16,-16,-35,QY-035X-016
-35,-17,-17,-35,QY-035X-017
-35,-18,-18,-35,QY-035X-018
-35,-19,-19,-35,QY-035X-019
-35,-20,-20,-35,QY-035X-020
-35,-21,-21,-35,QY-035X-021
-35,-22,-22,-35,QY-035X-022
-35,-23,-23,-35,QY-035X-023
-35,-24,-24,-35,QY-035X-024
-35,-25,-25,-35,QY-035X-025
-35,-26,-26,-35,QY-035X-026
-35,-27,-27,-35,QY-035X-027
-35,-28,-28,-35,QY-035X-028
-35,-29,-29,-35,QY-035X-029
-35,-30,-30,-35,QY-035X-030
-35,-31,-31,-35,QY-035X-031
-35,-32,-32,-35,QY-035X-032
-35,-33,-33,-35,QY-035X-033
-35,-34,-34,-35,QY-035X-034
-35,-35,-35,-35,QY-035X-035
-35,-36,-36,-35,QY-035X-036
-35,-37,-37,-35,QY-035X-037
-35,-38,-38,-35,QY-035X-038
-34,-38,-38,-34,QY-034X-038
-34,-37,-37,-34,QY-034X-037
-34,-36,-36,-34,QY-034X-036
-34,-35,-35,-34,QY-034X-035
-34,-34,-34,-34,QY-034X-034
-34,-33,-33,-34,QY-034X-033
-34,-32,-32,-34,QY-034X-032
-34,-31,-31,-34,QY-034X-031
-34,-30,-30,-34,QY-034X-030
-34,-29,-29,-34,QY-034X-029
-34,-28,-28,-34,QY-034X-028
-34,-27,-27,-34,QY-034X-027
-34,-26,-26,-34,QY-034X-026
-34,-25,-25,-34,QY-034X-025
-34,-24,-24,-34,QY-034X-024
-34,-23,-23,-34,QY-034X-023
-34,-22,-22,-34,QY-034X-022
-34,-21,-21,-34,QY-034X-021
-34,-20,-20,-34,QY-034X-020
-34,-19,-19,-34,QY-034X-019
-34,-18,-18,-34,QY-034X-018
-34,-17,-17,-34,QY-034X-017
-34,-16,-16,-34,QY-034X-016
-34,-15,-15,-34,QY-034X-015
-34,-14,-14,-34,QY-034X-014
-34,-13,-13,-34,QY-034X-013
-34,-12,-12,-34,QY-034X-012
-34,-11,-11,-34,QY-034X-011
-34,-10,-10,-34,QY-034X-010
-34,-9,-9,-34,QY-034X-009
-34,-8,-8,-34,QY-034X-008
