kind,recipe,pin,pad,net,seq,bench,minor_moves,shortcut,fast_current_settle,manual_mode,align_die,wafer_map,shot_origin_x,shot_origin_y,name,type,mode,instrument,chan,target,hi,lo,level,limit,shape,freq,conn,min,max,avg_count,avg_delay,nplc,his,los,settle_delay,abs_value,mrange,die,route,instrument_key,terminals
SITE,FULL,,,,123,,,,,,,,,,123,,,,,,4,3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,124,,,,,,,,,,124,,,,,,4,4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,125,,,,,,,,,,125,,,,,,4,5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,126,,,,,,,,,,126,,,,,,4,6,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,127,,,,,,,,,,127,,,,,,5,-4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,128,,,,,,,,,,128,,,,,,5,-3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,129,,,,,,,,,,129,,,,,,5,-2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,130,,,,,,,,,,130,,,,,,5,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,131,,,,,,,,,,131,,,,,,5,0,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,132,,,,,,,,,,132,,,,,,5,1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,133,,,,,,,,,,133,,,,,,5,2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,134,,,,,,,,,,134,,,,,,5,3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,135,,,,,,,,,,135,,,,,,5,4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,136,,,,,,,,,,136,,,,,,5,5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,137,,,,,,,,,,137,,,,,,6,-3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,138,,,,,,,,,,138,,,,,,6,-2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,139,,,,,,,,,,139,,,,,,6,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,140,,,,,,,,,,140,,,,,,6,0,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,141,,,,,,,,,,141,,,,,,6,1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,142,,,,,,,,,,142,,,,,,6,2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,143,,,,,,,,,,143,,,,,,6,3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,144,,,,,,,,,,144,,,,,,6,4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,145,,,,,,,,,,145,,,,,,7,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,146,,,,,,,,,,146,,,,,,7,0,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,147,,,,,,,,,,147,,,,,,7,1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,148,,,,,,,,,,148,,,,,,7,2,,,,,,,,,,,,,,,,,,,
